name,start_date,end_date,location,category,link
Animal Farm,Thursday 19th (19:30),Saturday 21st March 2020 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2020/animal-farm.aspx
Philosophy Society Seminar Series,Wednesday 29th April 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2904.aspx
Beowulf on the Whale-Road: Reading a North Sea poem through Water-Philology,Wednesday 27th May 2020 (00:01-23:59,N/A,To be confirmed,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2020/cesma-annual-lecture.aspx
Philosophy Society Seminar Series,Wednesday 27th May 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2705.aspx
Ethics in a Global Environment: The Sixth Annual Conference of the Centre for the Study of Global Ethics,Thursday 28th (00:01),Friday 29th May 2020 (23:59),Edgbaston Campus,N/A,https://www.birmingham.ac.uk/research/activity/globalethics/events/2020/ethics-in-a-global-environment.aspx
The Vice-Chancellor's Distinguished Lecture Series – Baroness Hale,Tuesday 2nd June 2020 (18:00-19:00,N/A,"Elgar, Elgar Concert Hall, Bramall Music Building (R12)",Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/distinguished-lectures/vcdlBaronessHale.aspx
EPS Societies' Awards 2020,Wednesday 10th June 2020 (19:30-23:30,N/A,"Great Hall, Aston Webb Building (R6 on campus map)","Alumni, Engineering and Physical Sciences, Students",https://www.birmingham.ac.uk/university/colleges/eps/events/2020/eps-societies-awards-2020.aspx
The Third International Conference on Philosophy and Meaning in Life,Wednesday 17th (00:01),Friday 19th June 2020 (23:59),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philosophy-and-meaning-in-life.aspx
Undergraduate Open Day,Friday 26th June 2020 (09:00-16:00,N/A,University of Birmingham,Open Day,https://www.birmingham.ac.uk/undergraduate/visit/opendays/index.aspx
Undergraduate Open Day,Saturday 27th June 2020 (09:00-16:00,N/A,N/A,Open Day,https://www.birmingham.ac.uk/undergraduate/visit/opendays/index.aspx
Immediate Effect,Thursday 27th (00:01),Saturday 29th August 2020 (23:59),Europe Hub - Brussels,N/A,https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2020/immediateeffect/index.aspx
Undergraduate Open Day,Saturday 12th September 2020 (09:00-16:00,N/A,University of Birmingham,Open Day,https://www.birmingham.ac.uk/undergraduate/visit/opendays/index.aspx
Undergraduate Open Day,Saturday 17th October 2020 (09:00-16:00,N/A,University of Birmingham,Open Day,https://www.birmingham.ac.uk/undergraduate/visit/opendays/index.aspx
Onyx Brass,Friday 15th November 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-onyx-brass.aspx
BHM2019 - Awards Ceremony,Friday 15th November 2019 (18:00-19:30,N/A,TBC (confirmation will be sent once you register),"Lectures Talks and Workshops, Performance",https://www.birmingham.ac.uk/events/black-history-month/2019/Awards-Ceremony.aspx
Music and the Hanseatic League,Saturday 16th November 2019 (15:00-16:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-hanseatic-league.aspx
King Edward's Schools,Friday 22nd November 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/king-edwards-schools.aspx
Brass Band and Saxophone Choir,Friday 22nd November 2019 (19:30-21:30,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-brass-band-saxophone-choir.aspx
Music Society Gala Concert,Saturday 23rd November 2019 (19:30-21:30,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-gala-concert.aspx
Birmingham University Singers and University Women's Choir,Sunday 24th November 2019 (15:00-16:30,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/university-music-singers-womens-choir.aspx
Binchois Consort,Friday 29th November 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-binchois-consort.aspx
Jazz Orchestra,Friday 29th November 2019 (19:30-21:30,N/A,CBSO Centre,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-jazz-orchestra.aspx
Symphony Orchestra,Saturday 30th November 2019 (14:00-15:15,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-symphony-orchestra.aspx
Wind Band and String Orchestra,Sunday 1st December 2019 (15:00-17:00,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-wind-band-string-orchestra.aspx
Ziyu He and Marie Hauzel,Wednesday 4th December 2019 (19:30-21:30,N/A,Barber Concert Hall,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-evening-ziyu-he-marie-hauzel.aspx
The Caucasian Chalk Circle,Thursday 5th (19:30),Saturday 7th December 2019 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2019/caucasion-chalk-circle.aspx
A New Song,Friday 6th December 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-a-new-song.aspx
Philharmonic Orchestra,Saturday 7th December 2019 (19:30-21:30,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-philharmonic-orchestra.aspx
University Chorus,Sunday 8th December 2019 (15:00-17:00,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-university-chorus.aspx
University Carol Service,Monday 9th December 2019 (18:15-20:00,N/A,Great Hall - Aston Webb Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/university-carol-service.aspx
Boxwood and Brass: A Georgian Country House Christmas,Friday 13th December 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-boxwood-brass.aspx
Birmingham University Singers at Tenbury Wells,Saturday 14th (18:30),Sunday 15th December 2019 (10:00),St Michael’s Church,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/university-music-birmingham-uni-singers.aspx
Sestina,Wednesday 5th February 2020 (19:30-21:30,N/A,Barber Concert Hall,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-evening-sestina.aspx
Comment Is Free,Thursday 13th (19:30),Saturday 15th February 2020 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2020/comment-is-free.aspx
Animal Farm,Thursday 19th (19:30),Saturday 21st March 2020 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2020/animal-farm.aspx
History of the University of Birmingham,Friday 7th June 2019 (09:00),Friday 31st January 2020 (18:00),Main Library Atrium,Exhibitions,https://www.birmingham.ac.uk/events/exhibitions/History-of-the-University-of-Birmingham.aspx
Executive Programme in Strategic Commissioning (4 day course),Thursday 17th October (00:00),Friday 6th December 2019 (00:00),Edgbaston Campus,"Lectures Talks and Workshops, Social Sciences, Teaching",https://www.birmingham.ac.uk/schools/government/departments/local-government-studies/events/2019/strategic-commissioning.aspx
"Climate Change: Science, Impacts and Solutions (Years 12 and 13)",Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Climate-Change-Science-Impacts-Solutions.aspx
Making a Murderer (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Making-a-Murderer.aspx
Nurses – how do they assess human health? (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Nurses-how-do-they-assess-human-health.aspx
Sport & Exercise: Just Study It! (Year 11-13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Sport-Exercise-Just-Study-It.aspx
The Economics of Brexit (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-Economics-of-Brexit.aspx
Using Maths to Survive the Zombie Apocalypse (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Using-Maths-to-Survive-the-Zombie-Apocalypse.aspx
What Makes Science Fiction? (Year 11 & 12),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/What-Makes-Science-Fiction.aspx
Institutionalising citizenship in ancient Greece,Thursday 14th November 2019 (14:00-18:00,N/A,"Education Building, Room M35","Arts and Law, Lectures Talks and Workshops, Research, Students",https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2019/institutionalising.aspx
'Working with Shakespeare on stage and screen: Russell Jackson in conversation with Michael Dobson,Thursday 14th November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts1411.aspx
George Orwell and 'The Ministry of Truth': Dorian Lynskey in Conversation,Thursday 14th November 2019 (18:00-19:30,N/A,Arts Building - Lecture Theatre 7,"Arts and Law, Lectures Talks and Workshops, Research",https://www.eventbrite.co.uk/e/george-orwell-and-the-ministry-of-truth-dorian-lynskey-in-conversation-tickets-76637331321
BHM2019 - Awards Ceremony,Friday 15th November 2019 (18:00-19:30,N/A,TBC (confirmation will be sent once you register),"Lectures Talks and Workshops, Performance",https://www.birmingham.ac.uk/events/black-history-month/2019/Awards-Ceremony.aspx
Lapworth Lecture - Volcanoes: from fuming vents to extinction events,Monday 18th November 2019 (17:00-18:00,N/A,"Lecture Theatre WG5, Ground Floor, Aston Webb Building (R4)","Lectures Talks and Workshops, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/lectures/2019/18Nov-LapworthLecture.aspx
Academic Writing (Year 12 & 13),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Academic-Writing.aspx
Biomaterials: helping you live longer? (Year 12 & 13),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Biomaterials-helping-you-live-longer.aspx
How to Read a Shakespeare Play (Year 10 & 11),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/How-to-Read-a-Shakespeare-Play-GCSE.aspx
Is Consciousness Physical? (Year 12 & 13),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Is-Consciousness-Physical.aspx
Monoclonal Antibodies as Anti-cancer Drugs (Year 12 & 13),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Monoclonal-Antibodies-as-Anti-cancer-Drugs.aspx
Physics: Hot and Cold (Year 10 & 11),Wednesday 20th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Physics-Hot-and-Cold.aspx
The poetics and politics of creation and translation,Wednesday 20th November 2019 (14:00-16:00,N/A,Muirhead 113,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/lcahm/departments/languages/events/2019/poetics-and-politics-of-creation-and-translation.aspx
Clean Air for All,Wednesday 20th November 2019 (18:00-21:00,N/A,"Birmingham B15 2TH, Lecture Theatre 3, Level 1 Queen Elizabeth Hospital, Mindelsohn Way","Lectures Talks and Workshops, Medical and Dental Sciences, Research",https://www.birmingham.ac.uk/university/colleges/mds/events/2019/11/suzanne-bartington-Clean-Air.aspx
'A pyramis of pity will I rear': Reworking Poetic Pity for Early Modern Drama,Thursday 21st November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts2111.aspx
Leaders in Law: Simone George,Thursday 21st November 2019 (18:00-19:00,N/A,Law Lecture Theatre Two,"Arts and Law, Lectures Talks and Workshops",https://www.birmingham.ac.uk/facilities/CEPLER/news/events/Leaders-in-Law-Simone-George.aspx
Being Human Festival 2019: 21st Century Body Panel Discussion with Q&A,Thursday 21st November 2019 (18:30-21:00,N/A,Bramall Music Building - Elgar Concert Hall (R12 on campus map),"Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/events/events/being-human-festival-2019-21st-century-body-panel-discussion.aspx
Why are rare earth elements/magnets critical in a modern society?,Monday 25th November 2019 (17:30-18:30,N/A,GC17 - C Block Foyer of Metallurgy & Materials Building (G6),"Engineering and Physical Sciences, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/university/colleges/eps/events/inaugural-lecture/allan-walton-25-11-19-inaugural-lecture.aspx
Boost up your languages! (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Boost-up-your-languages.aspx
Criminal Law: Streetlaw (Years 10-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Criminal-Law-Streetlaw.aspx
Image/Body/Art (Years 10-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Image-Body-Art.aspx
Philharmonic Orchestra (Year 7 & 8),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Philharmonic-Orchestra.aspx
Research and Evaluation Skills (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Research-and-Evaluation-Skills.aspx
The Physics of Rockets (Year 7 & 8),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-physics-of-rockets.aspx
Where do medicines come from? (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Where-do-medicines-come-from.aspx
Write What You Don't Know (Years 11-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Write-What-You-Dont-Know.aspx
Philosophy Society Seminar Series,Wednesday 27th November 2019 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2019/philsoc2711.aspx
"""Sonic Revolutions"": Hegemony and Protest, 1737-1843",Thursday 28th November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts2811.aspx
"Making the social care future, together",Thursday 28th November 2019 (17:30-19:00,N/A,"Alan Walters Building  G11, Edgbastion Campus, University of Birmingham","Lectures Talks and Workshops, Medical and Dental Sciences, Social Sciences",https://www.birmingham.ac.uk/research/health-and-social-care-leadership/events/2019/making-the-social-care-future-together.aspx
Birmingham History Day 2019,Saturday 30th November 2019 (10:00-16:30,N/A,Large Lecture Theatre - 1st Floor - Arts Building - University of Birmingham - B15 2TT,"Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/birmingham-history-day-2019.aspx
Lapworth Lecture - The Ecological Time Machine,Monday 2nd December 2019 (17:00-18:00,N/A,"Lecture Theatre WG5, Ground Floor, Aston Webb Building (R4)","Lectures Talks and Workshops, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/lectures/2019/2Dec-LapworthLecture.aspx
"Are Governments ""Murdering"" its citizens? (Year 11)",Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Are-Governments-Murdering-its-citizens.aspx
Can seaweed prevent intestinal disease? (Year 12 & 13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Can-seaweed-prevent-intestinal-disease.aspx
De Quincey's Confessions (1821) (Year 12 & 13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/De-Quinceys-Confessions-1821.aspx
Reading and Writing Fanfiction (Years 10-13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Reading-and-Writing-Fanfiction.aspx
What's your problem?! (Years 10-13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Whats-your-problem.aspx
Protecting the Environment and Improving Lives: How Can Elusive 'Win-Win' Outcomes Be Achieved?,Wednesday 4th December 2019 (18:00-19:00,N/A,Alan Walters Building - G03,"Lectures Talks and Workshops, Social Sciences",https://www.birmingham.ac.uk/university/colleges/socsci/events/inaugural-lectures/2019/protecting-the-environment.aspx
Hair in the BBC's The Hollow Crown: the Wars of the Roses,Thursday 5th December 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts0512.aspx
Ezra's Legacy and the Dead Sea Scrolls conference,Sunday 8th (09:00),Tuesday 10th December 2019 (17:00),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/events/2019/ezra-in-the-dead-sea-scrolls.aspx
The silence about Ezra in the Dead Sea Scrolls: where do we go from here?,Monday 9th December 2019 (20:00-21:30,N/A,"B1 1BB, Birmingham, Birmingham City Council, The Chamberlain Room, Victoria Square, West Midlands","Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/events/2019/ezra-in-the-dead-sea-scrolls.aspx
Collecting Female Artists (Year 12 & 13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Collecting-Female-Artists.aspx
"Exam anxiety: What is it, why do students experience it, and what can be done about it? (Year 11, 12 & 13)",Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Exam-anxiety.aspx
Intensive Care Physiotherapy (Years 10-12),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Intensive-Care-Physiotherapy.aspx
The Eye: Fact or Fiction (Years 11-13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-Eye-Fact-or-Fiction.aspx
Try a new language! (GCSE - Session 2) (Year 10 & 11),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Try-a-new-language-GCSE-2.aspx
Volcanic and Seismic Hazards at the Lapworth Museum of Geology (Years 11-13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Volcanic-and-Seismic-Hazards.aspx
Why should I look after my gums? (Year 12 & 13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Why-should-I-look-after-my-gums.aspx
STECA - Second Temple Early Career Academy,Wednesday 11th (09:00),Thursday 12th December 2019 (17:00),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/research/projects/ezras-legacy/steca.aspx
Philosophy Society Seminar Series,Wednesday 15th January 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc1501.aspx
The Vice-Chancellor's Distinguished Lecture Series – Dr Tristram Hunt,Tuesday 11th February 2020 (18:00-19:00,N/A,"Elgar, Elgar Concert Hall, Bramall Music Building (R12)",Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/distinguished-lectures/vcdlTristramHunt.aspx
The Hidden Life of Henry Reed,Wednesday 12th February 2020 (13:05-13:55,N/A,Cadbury Research Library - Chamberlain Seminar Room,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/lectures/The-Hidden-Life-of-Henry-Reed.aspx
Philosophy Society Seminar Series,Wednesday 12th February 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc1202.aspx
"Internationalism, peace and reconciliation: Anglo-German connections in the Youth Hostels movement 1930-1950",Friday 28th February 2020 (13:10-14:00,N/A,Cadbury Research Library Seminar Room,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/lectures/Internationalism-peace-and-reconciliation-Anglo-German-connections-in-the-Youth-Hostels-movement-1930-1950.aspx
Philosophy Society Seminar Series,Wednesday 4th March 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc0403.aspx
Philosophy Society Seminar Series,Wednesday 29th April 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2904.aspx
Beowulf on the Whale-Road: Reading a North Sea poem through Water-Philology,Wednesday 27th May 2020 (00:01-23:59,N/A,To be confirmed,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2020/cesma-annual-lecture.aspx
Philosophy Society Seminar Series,Wednesday 27th May 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2705.aspx
The Vice-Chancellor's Distinguished Lecture Series – Baroness Hale,Tuesday 2nd June 2020 (18:00-19:00,N/A,"Elgar, Elgar Concert Hall, Bramall Music Building (R12)",Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/distinguished-lectures/vcdlBaronessHale.aspx
The Third International Conference on Philosophy and Meaning in Life,Wednesday 17th (00:01),Friday 19th June 2020 (23:59),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philosophy-and-meaning-in-life.aspx
History of the University of Birmingham,Friday 7th June 2019 (09:00),Friday 31st January 2020 (18:00),Main Library Atrium,Exhibitions,https://www.birmingham.ac.uk/events/exhibitions/History-of-the-University-of-Birmingham.aspx
Jack's Adventures with Salt,Wednesday 17th July 2019 (10:00),Saturday 29th February 2020 (17:00),N/A,"Exhibitions, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/exhibitions/2019/08July-JacksAdventuresWithSalt.aspx
Mini Medical School competition autumn 2019,Wednesday 2nd October (18:00),Wednesday 13th November 2019 (20:00),Medical School,Medical and Dental Sciences,https://www.birmingham.ac.uk/events/UGNewsletter/Mini-Medical-School-competition.aspx
Executive Programme in Strategic Commissioning (4 day course),Thursday 17th October (00:00),Friday 6th December 2019 (00:00),Edgbaston Campus,"Lectures Talks and Workshops, Social Sciences, Teaching",https://www.birmingham.ac.uk/schools/government/departments/local-government-studies/events/2019/strategic-commissioning.aspx
Comparing Peripheries. Galicia and Carinthia in Medieval Time,Tuesday 12th November 2019 (16:00-17:30,N/A,Arts G13,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-marina-beluso.aspx
"Climate Change: Science, Impacts and Solutions (Years 12 and 13)",Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Climate-Change-Science-Impacts-Solutions.aspx
Making a Murderer (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Making-a-Murderer.aspx
Militaristic and pious? Lead figurines from the Spartan sanctuary of Artemis Orthia.,Wednesday 13th November 2019 (13:00-14:00,N/A,Arts 305,N/A,https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2019/caha-object-1311.aspx
Nurses – how do they assess human health? (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Nurses-how-do-they-assess-human-health.aspx
Sport & Exercise: Just Study It! (Year 11-13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Sport-Exercise-Just-Study-It.aspx
The Economics of Brexit (Year 12 & 13),Wednesday 13th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-Economics-of-Brexit.aspx
